cdmTableName,dateColumn,datetimeColumn,endDateColumn,endDatetimeColumn
condition_occurrence,condition_start_date,condition_start_datetime,condition_end_date,condition_end_datetime
death,death_date,death_datetime,,
device_exposure,device_exposure_start_date,device_exposure_start_datetime,device_exposure_end_date,device_exposure_end_datetime
dose_era,dose_era_start_date,,dose_era_end_date,
drug_era,drug_era_start_date,,drug_era_end_date,
drug_exposure,drug_exposure_start_date,drug_exposure_start_datetime,drug_exposure_end_date,drug_exposure_end_datetime
measurement,measurement_date,measurement_datetime,,
note,note_date,note_datetime,,
observation,observation_date,observation_datetime,,
observation_period,observation_period_start_date,,observation_period_end_date,
payer_plan_period,payer_plan_period_start_date,,payer_plan_period_end_date,
procedure_occurrence,procedure_date,procedure_datetime,procedure_end_date,procedure_end_datetime
specimen,specimen_date,specimen_datetime,,
visit_detail,visit_detail_start_date,visit_detail_start_datetime,visit_detail_end_date,visit_detail_end_datetime
visit_occurrence,visit_start_date,visit_start_datetime,visit_end_date,visit_end_datetime
condition_era,condition_era_start_date,,condition_era_end_date,
episode,episode_start_date,episode_start_datetime,episode_end_date,episode_end_datetime
